anio,subcompactos,compactos,de_lujo,deportivos,usos_multiples,camiones_ligeros,camiones_pesados,total_agosto
2012,24906.0,23195.0,4693,,16746,13140,136,83326
2013,26485.0,24586.0,4864,,19573,12549,98,88586
2014,36509.0,26009.0,4696,,21648,14544,128,103994
2015,40713.0,28752.0,5443,,24458,12080,86,112307
2016,53094.0,31236.0,5699,,27514,15276,80,134388
2017,45544.0,26264.0,4600,,33370,15199,111,125985
2018,42003.0,25331.0,4569,,31804,15000,101,119487
2019,36968.0,21044.0,3594,,29141,16571,123,108074
2020,23417.0,17045.0,2918,,21244,11830,156,77120
2021,22386.0,15075.0,2537,,26808,10954,0,78235
2022,19865.0,,2702,,34778,15730,126,91988
2023,,23330.0,2576,,43294,20131,72,114097
2024,27871.0,,2754,,48207,22547,157,128609
2025,26918.0,19804.0,2568,820.0,53486,22882,67,126545
2026,28318.0,19223.0,2393,752.0,55601,22837,238,129362
